# Kernel-level ECDSA timing (CLOCK_MONOTONIC_RAW)
# idx|gen_ns|del_ns|keygen_ns(gen-del)
302|53618177|15580000|38038177
303|75990625|33096407|42894218
304|83796042|29425000|54371042
305|111921615|29661042|82260573
306|85507709|26050000|59457709
307|63177656|31097709|32079947
308|69255000|24317656|44937344
309|82884323|38192448|44691875
310|103789062|33116563|70672499
311|85429740|26830469|58599271
312|76217135|33749843|42467292
313|121367031|24168697|97198334
314|99600156|21774375|77825781
315|58928333|24724740|34203593
316|104468125|42752343|61715782
317|81008907|33653802|47355105
318|75790313|27224896|48565417
319|107406875|28950625|78456250
320|80545104|20797136|59747968
321|69809062|34376875|35432187
322|83708750|31197188|52511562
323|76022605|41219375|34803230
324|166048072|34841250|131206822
325|88033437|19918020|68115417
326|66526719|17630781|48895938
327|47462865|14440364|33022501
328|45316250|23138594|22177656
329|42699584|25450677|17248907
330|56578281|20831302|35746979
331|83629688|18500156|65129532
332|103080156|19541406|83538750
333|52975000|14226979|38748021
334|100291718|27834011|72457707
335|87718594|18015886|69702708
336|46565000|16476250|30088750
337|80776771|15606198|65170573
338|103006250|15402865|87603385
339|161990677|17358073|144632604
340|99536563|16040937|83495626
341|91293750|17556718|73737032
342|113210469|18909844|94300625
343|52208906|23562813|28646093
344|99912500|27851302|72061198
345|77568541|27103907|50464634
346|86236875|22222344|64014531
347|43515885|31094740|12421145
348|71100937|16318697|54782240
349|167154427|15485000|151669427
350|48178281|18151145|30027136
351|44207760|16012657|28195103
352|47783489|18143750|29639739
353|43300312|23375938|19924374
354|51853281|18127813|33725468
355|97341302|16845417|80495885
356|105918125|18279844|87638281
357|73357500|17018437|56339063
358|55400261|13050364|42349897
359|49222083|15247813|33974270
360|108862344|23812187|85050157
361|89660260|18341406|71318854
362|127428021|17943750|109484271
363|74173541|15250938|58922603
364|44397396|20362708|24034688
365|49122968|12584532|36538436
366|63476250|26925469|36550781
367|65111875|18869688|46242187
368|136386094|19759531|116626563
369|66975469|17970625|49004844
370|162984375|22530000|140454375
371|93420469|17571250|75849219
372|67485469|23526094|43959375
373|68269583|31446094|36823489
374|95705938|16248750|79457188
375|60712396|18776563|41935833
376|85827500|18850625|66976875
377|90944167|19862552|71081615
378|141478750|18833750|122645000
379|114372188|20828750|93543438
380|94978906|23967239|71011667
381|117464271|15516146|101948125
382|67654063|17950885|49703178
383|41178385|15183229|25995156
384|77127343|15316407|61810936
385|62139062|15428178|46710884
386|56311823|20454792|35857031
387|64183281|15661303|48521978
388|70009218|18124636|51884582
389|51371354|29537969|21833385
390|78574219|20379375|58194844
391|87109271|24962344|62146927
392|45528386|15669635|29858751
393|52739531|21643594|31095937
394|47997396|20313334|27684062
395|39120260|26929218|12191042
396|50309427|29947448|20361979
397|70920781|21009583|49911198
398|59782500|15925156|43857344
399|108378906|21310573|87068333
400|59170156|20270052|38900104
401|46760938|14422708|32338230
402|82666667|21960469|60706198
403|98984271|27270521|71713750
404|102903907|18987656|83916251
405|44220000|18900781|25319219
406|47586094|31952709|15633385
407|56511146|15948281|40562865
408|64990260|15460885|49529375
409|37801979|19262187|18539792
410|78137553|28447656|49689897
411|51636667|15867500|35769167
412|58942604|21377813|37564791
413|56019688|23410260|32609428
414|145600052|15490000|130110052
415|131425677|25191510|106234167
416|83225573|15823541|67402032
417|73737291|20739948|52997343
418|69792865|19080000|50712865
419|146388281|19150886|127237395
420|99189531|14282500|84907031
421|50052969|18254375|31798594
422|69812344|23561146|46251198
423|87733906|18136250|69597656
424|48446562|18338750|30107812
425|45164375|25832031|19332344
426|68421875|27764688|40657187
427|75708125|27391927|48316198
428|86123594|27069687|59053907
429|72326303|19363333|52962970
430|83337188|28501614|54835574
431|108613906|19955312|88658594
432|83855000|24101146|59753854
433|61479062|15047188|46431874
434|89008802|15696042|73312760
435|78412761|15252656|63160105
436|108630365|23579374|85050991
437|89662709|18994531|70668178
438|101237657|18582396|82655261
439|55014271|14169115|40845156
440|80867396|18723386|62144010
441|128008906|17089687|110919219
442|58396875|23754375|34642500
443|59846615|15628958|44217657
444|83429480|20766250|62663230
445|74122343|17368438|56753905
446|91020730|26263281|64757449
447|96221666|15181875|81039791
448|43110781|16501459|26609322
449|58559062|18057500|40501562
